,Country,Region,City,Longitude,Latitude,attacktype,nkill,nwound,Date,ntotal
286,Iraq,Middle East & North Africa,Arbil,44.009101,36.191107,Bombing/Explosion,50.0,133.5,2-1-2004,183.5
287,Iraq,Middle East & North Africa,Arbil,44.009101,36.191107,Bombing/Explosion,50.0,133.5,2-1-2004,183.5
288,Russia,Russia & the Newly Independent States (NIS),Zamoskvorechye,37.637248,55.732666,Bombing/Explosion,40.0,122.0,2-6-2004,162.0
289,Iraq,Middle East & North Africa,Iskandariyah,44.348,32.885040000000004,Bombing/Explosion,71.0,150.0,2-10-2004,221.0
290,Iraq,Middle East & North Africa,Hillah,44.433333000000005,32.483333,Bombing/Explosion,12.0,100.0,2-18-2004,112.0
291,Iraq,Middle East & North Africa,Kirkuk,44.39098,35.46883,Bombing/Explosion,10.0,52.0,2-23-2004,62.0
292,Iraq,Middle East & North Africa,Karbala,44.024968,32.614481,Bombing/Explosion,110.0,233.0,3-2-2004,343.0
293,Iraq,Middle East & North Africa,Baghdad,44.34494,33.381146,Bombing/Explosion,58.0,167.0,3-2-2004,225.0
294,Pakistan,South Asia,Quetta,67.000517,30.182125,Armed Assault,44.0,130.0,3-2-2004,174.0
295,Spain,Western Europe,Madrid,-3.7003449999999996,40.416691,Bombing/Explosion,37.0,450.0,3-11-2004,487.0
296,Spain,Western Europe,Madrid,-3.7003449999999996,40.416691,Bombing/Explosion,73.0,450.0,3-11-2004,523.0
297,Spain,Western Europe,Madrid,-3.7003449999999996,40.416691,Bombing/Explosion,19.0,450.0,3-11-2004,469.0
298,Spain,Western Europe,Madrid,-3.7003449999999996,40.416691,Bombing/Explosion,62.0,450.0,3-11-2004,512.0
299,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,28.0,45.0,3-17-2004,73.0
300,Iraq,Middle East & North Africa,Abu Ghraib,44.065556,33.291944,Bombing/Explosion,22.0,120.0,4-20-2004,142.0
301,Iraq,Middle East & North Africa,Basra,47.816666999999995,30.5,Bombing/Explosion,74.0,100.0,4-21-2004,174.0
302,Saudi Arabia,Middle East & North Africa,Riyadh,46.714581,24.64732,Bombing/Explosion,5.0,145.0,4-23-2004,150.0
303,Pakistan,South Asia,Karachi,67.028061,24.893379,Bombing/Explosion,18.0,100.0,5-7-2004,118.0
304,Russia,Russia & the Newly Independent States (NIS),Grozny,45.683333000000005,43.316666999999995,Bombing/Explosion,24.0,46.0,5-9-2004,70.0
305,Russia,Russia & the Newly Independent States (NIS),Grozny,45.683333000000005,43.316666999999995,Assassination,4.0,53.0,5-9-2004,57.0
306,Algeria,Middle East & North Africa,Beni Ksila,4.661944,36.8825,Unknown,10.0,45.0,6-3-2004,55.0
307,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,35.0,145.0,6-17-2004,180.0
308,Iraq,Middle East & North Africa,Mosul,43.13,36.34,Bombing/Explosion,60.0,220.0,6-24-2004,280.0
309,Iraq,Middle East & North Africa,Baghdad,44.4,33.3,Bombing/Explosion,40.0,22.0,6-26-2004,62.0
310,Iraq,Middle East & North Africa,Baqubah,44.633333,33.75,Bombing/Explosion,70.0,56.0,7-28-2004,126.0
311,Pakistan,South Asia,Fateh Jang,72.643393,33.565614000000004,Bombing/Explosion,9.0,50.0,7-30-2004,59.0
312,Iraq,Middle East & North Africa,Mosul,43.13,36.34,Bombing/Explosion,5.0,51.0,8-1-2004,56.0
313,Iraq,Middle East & North Africa,Kufa,44.399648,32.032916,Bombing/Explosion,27.0,63.0,8-26-2004,90.0
314,Russia,Russia & the Newly Independent States (NIS),Meshchansky,37.632337,55.778725,Bombing/Explosion,11.0,50.0,8-31-2004,61.0
315,Russia,Russia & the Newly Independent States (NIS),Beslan,44.541763,43.191626,Armed Assault,344.0,727.0,9-1-2004,1071.0
316,Iraq,Middle East & North Africa,Kirkuk,44.39098,35.46883,Bombing/Explosion,20.0,36.0,9-4-2004,56.0
317,Russia,Russia & the Newly Independent States (NIS),Meshchansky,37.632337,55.778725,Bombing/Explosion,10.0,51.0,9-5-2004,61.0
318,Indonesia,Southeast Asia,Jakarta,106.846046,-6.2088209999999995,Bombing/Explosion,10.0,182.0,9-9-2004,192.0
319,Iraq,Middle East & North Africa,Baghdad,44.399962,33.316633,Bombing/Explosion,47.0,114.0,9-14-2004,161.0
320,Iraq,Middle East & North Africa,Kirkuk,44.39098,35.46883,Bombing/Explosion,21.0,67.0,9-18-2004,88.0
321,Iraq,Middle East & North Africa,Baghdad,44.324684000000005,33.325359999999996,Bombing/Explosion,8.0,53.0,9-22-2004,61.0
