,month,killed,wounded
411,1983-12-01 00:00:00,367,507
203,1984-01-01 00:00:00,845,165
425,1984-02-01 00:00:00,1083,196
190,1984-03-01 00:00:00,728,405
33,1984-04-01 00:00:00,679,554
511,1984-05-01 00:00:00,490,351
308,1984-06-01 00:00:00,659,228
239,1984-07-01 00:00:00,1151,278
272,1984-08-01 00:00:00,1028,577
22,1984-09-01 00:00:00,1020,1174
429,1984-10-01 00:00:00,725,484
496,1984-11-01 00:00:00,995,361
410,1984-12-01 00:00:00,693,389
204,1985-01-01 00:00:00,562,291
424,1985-02-01 00:00:00,450,329
191,1985-03-01 00:00:00,409,518
32,1985-04-01 00:00:00,306,218
512,1985-05-01 00:00:00,1038,622
307,1985-06-01 00:00:00,964,378
493,1985-07-01 00:00:00,534,195
271,1985-08-01 00:00:00,572,751
23,1985-09-01 00:00:00,278,603
428,1985-10-01 00:00:00,464,307
492,1985-11-01 00:00:00,687,383
409,1985-12-01 00:00:00,613,434
201,1986-01-01 00:00:00,433,321
423,1986-02-01 00:00:00,279,260
192,1986-03-01 00:00:00,603,488
35,1986-04-01 00:00:00,263,577
509,1986-05-01 00:00:00,469,545
306,1986-06-01 00:00:00,442,825
241,1986-07-01 00:00:00,674,594
274,1986-08-01 00:00:00,344,502
20,1986-09-01 00:00:00,269,835
431,1986-10-01 00:00:00,311,358
487,1986-11-01 00:00:00,345,241
408,1986-12-01 00:00:00,343,202
202,1987-01-01 00:00:00,337,439
422,1987-02-01 00:00:00,639,324
193,1987-03-01 00:00:00,433,823
34,1987-04-01 00:00:00,745,664
510,1987-05-01 00:00:00,274,285
305,1987-06-01 00:00:00,652,432
242,1987-07-01 00:00:00,960,782
273,1987-08-01 00:00:00,468,441
21,1987-09-01 00:00:00,460,428
430,1987-10-01 00:00:00,600,213
240,1987-11-01 00:00:00,528,645
407,1987-12-01 00:00:00,260,336
215,1988-01-01 00:00:00,691,331
427,1988-02-01 00:00:00,639,492
198,1988-03-01 00:00:00,628,572
37,1988-04-01 00:00:00,607,392
513,1988-05-01 00:00:00,769,701
304,1988-06-01 00:00:00,581,548
243,1988-07-01 00:00:00,529,760
270,1988-08-01 00:00:00,466,462
18,1988-09-01 00:00:00,371,467
437,1988-10-01 00:00:00,448,501
245,1988-11-01 00:00:00,751,828
417,1988-12-01 00:00:00,643,721
216,1989-01-01 00:00:00,756,533
426,1989-02-01 00:00:00,639,526
199,1989-03-01 00:00:00,546,403
36,1989-04-01 00:00:00,517,445
514,1989-05-01 00:00:00,693,382
303,1989-06-01 00:00:00,604,346
244,1989-07-01 00:00:00,620,547
269,1989-08-01 00:00:00,808,542
188,1989-09-01 00:00:00,912,600
436,1989-10-01 00:00:00,789,333
246,1989-11-01 00:00:00,725,359
416,1989-12-01 00:00:00,452,462
377,1990-01-01 00:00:00,438,399
252,1990-02-01 00:00:00,414,263
352,1990-03-01 00:00:00,590,454
404,1990-04-01 00:00:00,674,798
114,1990-05-01 00:00:00,387,789
147,1990-06-01 00:00:00,955,575
371,1990-07-01 00:00:00,707,384
124,1990-08-01 00:00:00,1265,873
19,1990-09-01 00:00:00,444,630
57,1990-10-01 00:00:00,443,463
84,1990-11-01 00:00:00,381,192
43,1990-12-01 00:00:00,422,303
376,1991-01-01 00:00:00,374,395
253,1991-02-01 00:00:00,456,635
351,1991-03-01 00:00:00,425,635
405,1991-04-01 00:00:00,647,302
