,Country,Region,City,Longitude,Latitude,attacktype,nkill,nwound,Date,ntotal
1761,Afghanistan,South Asia,Zaranj,61.86,30.96,Bombing/Explosion,11.0,36.7,8-14-2012,47.7
1762,Afghanistan,South Asia,Zaranj,61.86,30.96,Bombing/Explosion,11.0,36.7,8-14-2012,47.7
1763,Afghanistan,South Asia,Zaranj,61.86,30.96,Bombing/Explosion,11.0,36.6,8-14-2012,47.6
1764,Afghanistan,South Asia,Dashti Archi district,69.179698,37.035818,Bombing/Explosion,11.0,24.0,8-14-2012,35.0
1765,Iraq,Middle East & North Africa,Husseiniyah,44.412808,33.546040000000005,Bombing/Explosion,6.0,32.0,8-16-2012,38.0
1766,Iraq,Middle East & North Africa,Baghdad,44.433333000000005,33.3,Bombing/Explosion,13.5,28.0,8-16-2012,41.5
1767,Iraq,Middle East & North Africa,Baghdad,44.433333000000005,33.3,Bombing/Explosion,13.5,28.0,8-16-2012,41.5
1768,Iraq,Middle East & North Africa,Baghdad,44.46091,33.389638,Bombing/Explosion,16.0,49.0,8-16-2012,65.0
1769,Iraq,Middle East & North Africa,Kut,45.824721999999994,32.505556,Bombing/Explosion,7.0,25.0,8-16-2012,32.0
1770,Turkey,Middle East & North Africa,Gaziantep,37.383338,37.06622,Bombing/Explosion,10.0,67.0,8-20-2012,77.0
1771,South Sudan,Sub-Saharan Africa,Pibor district,33.438353,6.217554,Hostage Taking (Kidnapping),24.0,12.0,8-23-2012,36.0
1772,Pakistan,South Asia,Batwar,71.429936,34.856902000000005,Unknown,32.0,14.0,8-25-2012,46.0
1773,Syria,Middle East & North Africa,Jaramana,36.35,33.483333,Bombing/Explosion,12.0,48.0,8-28-2012,60.0
1774,Pakistan,South Asia,Mattani,71.55806,33.794433000000005,Bombing/Explosion,12.0,20.0,8-31-2012,32.0
1775,Afghanistan,South Asia,Saydabad,68.763192,33.895519,Bombing/Explosion,14.0,69.0,9-1-2012,83.0
1776,Philippines,Southeast Asia,Davao City,125.45534099999999,7.190708,Bombing/Explosion,0.0,37.0,9-1-2012,37.0
1777,Syria,Middle East & North Africa,Jaramana,36.35,33.483333,Bombing/Explosion,5.0,27.0,9-3-2012,32.0
1778,Afghanistan,South Asia,Dur Baba,70.930077,34.03949,Bombing/Explosion,26.0,50.0,9-4-2012,76.0
1779,Philippines,Southeast Asia,Unknown,122.01176399999999,6.524553,Armed Assault,1.0,36.0,9-7-2012,37.0
1780,Iraq,Middle East & North Africa,Amarah,47.151015,31.837555,Bombing/Explosion,14.0,60.0,9-9-2012,74.0
1781,Iraq,Middle East & North Africa,Baghdad,44.46091,33.389638,Bombing/Explosion,13.0,32.0,9-9-2012,45.0
1782,Iraq,Middle East & North Africa,Baghdad,44.314192999999996,33.361103,Bombing/Explosion,5.0,38.0,9-9-2012,43.0
1783,Iraq,Middle East & North Africa,Kirkuk,44.391003000000005,35.468763,Bombing/Explosion,9.0,30.0,9-9-2012,39.0
1784,Iraq,Middle East & North Africa,Kirkuk,44.391003000000005,35.468763,Bombing/Explosion,3.0,43.0,9-9-2012,46.0
1785,Iraq,Middle East & North Africa,Unknown,44.007872,35.290356,Bombing/Explosion,7.0,40.0,9-9-2012,47.0
1786,Syria,Middle East & North Africa,Aleppo,37.159279,36.215548999999996,Bombing/Explosion,17.0,40.0,9-9-2012,57.0
1787,Pakistan,South Asia,Parachinar,70.100833,33.899167,Bombing/Explosion,14.0,70.0,9-10-2012,84.0
1788,Afghanistan,South Asia,Kunduz,68.86088199999999,36.725046,Bombing/Explosion,17.0,21.0,9-10-2012,38.0
1789,Iraq,Middle East & North Africa,Baghdad,44.433333000000005,33.3,Bombing/Explosion,8.0,24.0,9-17-2012,32.0
1790,Turkey,Middle East & North Africa,Kardesler,40.659501,38.917671999999996,Armed Assault,10.0,60.0,9-18-2012,70.0
1791,Thailand,Southeast Asia,Sai Buri,101.6175,6.701389,Bombing/Explosion,6.0,40.0,9-21-2012,46.0
1792,Nigeria,Sub-Saharan Africa,Bauchi,9.845172,10.30982,Bombing/Explosion,3.0,48.0,9-23-2012,51.0
1793,Pakistan,South Asia,Layyah,70.94188299999999,30.960711,Bombing/Explosion,1.0,30.0,9-25-2012,31.0
1794,Iraq,Middle East & North Africa,Tikrit,43.68557,34.604328,Bombing/Explosion,13.0,34.0,9-27-2012,47.0
1795,Afghanistan,South Asia,Khost,69.920151,33.33445,Bombing/Explosion,21.0,57.0,10-1-2012,78.0
1796,Syria,Middle East & North Africa,Aleppo,37.159279,36.215548999999996,Bombing/Explosion,12.0,22.5,10-3-2012,34.5
1797,Syria,Middle East & North Africa,Aleppo,37.159279,36.215548999999996,Bombing/Explosion,11.0,22.5,10-3-2012,33.5
1798,Syria,Middle East & North Africa,Aleppo,37.159279,36.215548999999996,Bombing/Explosion,11.0,22.5,10-3-2012,33.5
1799,Syria,Middle East & North Africa,Aleppo,37.159279,36.215548999999996,Bombing/Explosion,11.0,22.5,10-3-2012,33.5
1800,Pakistan,South Asia,Sibi,67.87156800000001,29.547279,Bombing/Explosion,11.0,30.0,10-11-2012,41.0
1801,Pakistan,South Asia,Dara Adam Khel,71.514528,33.686152,Bombing/Explosion,17.0,30.0,10-13-2012,47.0
1802,Pakistan,South Asia,Bannu,70.605556,32.988889,Bombing/Explosion,1.0,30.0,10-14-2012,31.0
1803,Lebanon,Middle East & North Africa,Beirut,35.495478999999996,33.888628999999995,Bombing/Explosion,8.0,78.0,10-19-2012,86.0
1804,Afghanistan,South Asia,Dawlat Abad,66.814704,36.989164,Bombing/Explosion,19.0,16.0,10-19-2012,35.0
1805,Yemen,Middle East & North Africa,Unknown,46.056321000000004,13.634341000000001,Bombing/Explosion,22.0,15.0,10-19-2012,37.0
1806,Iraq,Middle East & North Africa,Baghdad,44.314192999999996,33.361103,Bombing/Explosion,11.0,35.0,10-20-2012,46.0
1807,Syria,Middle East & North Africa,Damascus,36.316961,33.510273,Bombing/Explosion,13.0,29.0,10-21-2012,42.0
1808,Afghanistan,South Asia,Pashtun Kot,64.784832,35.913399,Armed Assault,32.0,0.0,10-24-2012,32.0
1809,Afghanistan,South Asia,Maymana,64.776314,35.92017,Bombing/Explosion,42.0,50.0,10-26-2012,92.0
1810,Syria,Middle East & North Africa,Damascus,36.312903999999996,33.484466999999995,Bombing/Explosion,8.0,30.0,10-26-2012,38.0
1811,Iraq,Middle East & North Africa,Baghdad,44.408735,33.336690000000004,Bombing/Explosion,8.0,25.0,10-27-2012,33.0
1812,Iraq,Middle East & North Africa,Baghdad,44.314192999999996,33.361103,Bombing/Explosion,10.0,28.0,10-28-2012,38.0
1813,Nigeria,Sub-Saharan Africa,Malali,7.433333,10.516667,Bombing/Explosion,3.0,100.0,10-28-2012,103.0
1814,Syria,Middle East & North Africa,Jaramana,36.35,33.483333,Bombing/Explosion,10.0,41.0,10-29-2012,51.0
1815,Syria,Middle East & North Africa,Damascus,36.258333,33.503056,Bombing/Explosion,11.0,31.0,11-5-2012,42.0
1816,Iraq,Middle East & North Africa,Taji,44.234167,33.509167,Bombing/Explosion,29.0,40.0,11-6-2012,69.0
1817,Syria,Middle East & North Africa,Hai al-Wuroud,36.3064,33.5111,Bombing/Explosion,10.0,40.0,11-6-2012,50.0
1818,Pakistan,South Asia,Peshawar,71.5448,34.004274,Bombing/Explosion,9.0,30.0,11-7-2012,39.0
1819,Iraq,Middle East & North Africa,Bashiqa,43.342013,36.451667,Bombing/Explosion,3.0,28.0,11-7-2012,31.0
1820,Iraq,Middle East & North Africa,Hillah,44.433642,32.483321000000004,Bombing/Explosion,10.0,35.0,11-14-2012,45.0
1821,Congo (Kinshasa),Sub-Saharan Africa,Unknown,29.254875,-1.131175,Unknown,153.0,7.0,11-15-2012,160.0
1822,Iraq,Middle East & North Africa,Balad,44.145278000000005,34.016389000000004,Bombing/Explosion,7.0,25.0,11-17-2012,32.0
1823,Thailand,Southeast Asia,Mueang Yala,101.28315699999999,6.542378,Bombing/Explosion,1.0,33.0,11-17-2012,34.0
1824,Kenya,Sub-Saharan Africa,Nairobi,36.821869,-1.292085,Bombing/Explosion,10.0,30.0,11-18-2012,40.0
1825,Thailand,Southeast Asia,Rueso,101.51764200000001,6.394829,Bombing/Explosion,3.0,36.0,11-18-2012,39.0
1826,Pakistan,South Asia,Rawalpindi,73.043747,33.605801,Bombing/Explosion,25.0,62.0,11-21-2012,87.0
1827,Afghanistan,South Asia,Maydan Shahr,68.840693,34.361059000000004,Bombing/Explosion,4.0,90.0,11-23-2012,94.0
1828,Pakistan,South Asia,Dera Ismail Khan,70.9095,31.823759000000003,Bombing/Explosion,7.0,30.0,11-24-2012,37.0
1829,Pakistan,South Asia,Dera Ismail Khan,70.9095,31.823759000000003,Bombing/Explosion,5.0,83.0,11-25-2012,88.0
1830,Syria,Middle East & North Africa,Jaramana,36.35,33.483333,Bombing/Explosion,36.0,83.0,11-28-2012,119.0
1831,Iraq,Middle East & North Africa,Hillah,44.433642,32.483321000000004,Bombing/Explosion,13.0,40.0,11-29-2012,53.0
1832,Iraq,Middle East & North Africa,Hillah,44.433642,32.483321000000004,Bombing/Explosion,13.0,40.0,11-29-2012,53.0
1833,Syria,Middle East & North Africa,Al-Hamra,36.670567,34.562296,Bombing/Explosion,7.0,24.0,12-2-2012,31.0
1834,Syria,Middle East & North Africa,Damascus,36.3064,33.5111,Bombing/Explosion,8.0,50.0,12-12-2012,58.0
1835,Syria,Middle East & North Africa,Qatana,36.08334,33.433309,Bombing/Explosion,16.0,23.0,12-13-2012,39.0
1836,Pakistan,South Asia,Peshawar,71.5448,34.004274,Bombing/Explosion,14.0,40.0,12-15-2012,54.0
1837,Iraq,Middle East & North Africa,Baghdad,44.422009,33.324999,Bombing/Explosion,11.0,40.0,12-17-2012,51.0
1838,Iraq,Middle East & North Africa,Tuz Khormato,44.63922,34.885611,Bombing/Explosion,5.0,26.0,12-17-2012,31.0
1839,Pakistan,South Asia,Jamrud,71.383252,34.00012,Bombing/Explosion,21.0,66.0,12-17-2012,87.0
1840,Pakistan,South Asia,Karachi,67.016672,24.853185,Bombing/Explosion,7.0,50.0,12-29-2012,57.0
1841,Pakistan,South Asia,Mastung,66.849889,29.800158000000003,Bombing/Explosion,19.0,25.0,12-30-2012,44.0
1842,Pakistan,South Asia,Karachi,67.06433100000001,24.928079999999998,Bombing/Explosion,4.0,45.0,1-1-2013,49.0
1843,Iraq,Middle East & North Africa,Musayyib,44.289809999999996,32.778471,Bombing/Explosion,28.0,60.0,1-3-2013,88.0
1844,Syria,Middle East & North Africa,Barzeh al-Balad,36.31459,33.549054,Bombing/Explosion,11.0,40.0,1-3-2013,51.0
1845,Sudan,Sub-Saharan Africa,Samaha,26.5,11.166667,Hostage Taking (Kidnapping),22.0,25.0,1-3-2013,47.0
1846,Afghanistan,South Asia,Marmul district,67.3375,36.6425,Unarmed Assault,0.0,250.0,1-8-2013,250.0
1847,Pakistan,South Asia,Quetta,67.015121,30.207454,Bombing/Explosion,53.5,84.5,1-10-2013,138.0
1848,Pakistan,South Asia,Quetta,67.015121,30.207454,Bombing/Explosion,53.5,84.5,1-10-2013,138.0
1849,Pakistan,South Asia,Quetta,67.015121,30.207454,Bombing/Explosion,12.0,50.0,1-10-2013,62.0
1850,Pakistan,South Asia,Mingora,72.363113,34.777434,Bombing/Explosion,31.0,70.0,1-10-2013,101.0
1851,Pakistan,South Asia,Unknown,69.969686,32.812886,Bombing/Explosion,17.0,20.0,1-13-2013,37.0
1852,Syria,Middle East & North Africa,Aleppo,37.159279,36.215548999999996,Bombing/Explosion,41.0,80.0,1-15-2013,121.0
1853,Syria,Middle East & North Africa,Aleppo,37.159279,36.215548999999996,Bombing/Explosion,41.0,80.0,1-15-2013,121.0
1854,Algeria,Middle East & North Africa,In Amenas,9.556767,28.052182000000002,Hostage Taking (Barricade Incident),69.0,8.0,1-16-2013,77.0
1855,Afghanistan,South Asia,Kabul,69.17170300000001,34.528455,Bombing/Explosion,7.0,30.0,1-16-2013,37.0
1856,Iraq,Middle East & North Africa,Kirkuk,44.392176,35.468720000000005,Bombing/Explosion,18.0,90.0,1-16-2013,108.0
1857,Iraq,Middle East & North Africa,Kirkuk,44.39098,35.46883,Bombing/Explosion,3.0,28.0,1-16-2013,31.0
1858,Iraq,Middle East & North Africa,Tuz Khormato,44.639247,34.885596,Bombing/Explosion,5.0,40.0,1-16-2013,45.0
1859,Iraq,Middle East & North Africa,Dujail,44.233333,33.85,Bombing/Explosion,5.5,36.0,1-17-2013,41.5
1860,Iraq,Middle East & North Africa,Dujail,44.233333,33.85,Bombing/Explosion,5.5,36.0,1-17-2013,41.5
1861,Syria,Middle East & North Africa,Aleppo,37.159279,36.215548999999996,Bombing/Explosion,12.0,24.0,1-18-2013,36.0
1862,Syria,Middle East & North Africa,Salmiyeh,37.0525,35.013332,Bombing/Explosion,31.0,24.0,1-21-2013,55.0
1863,Iraq,Middle East & North Africa,Tuz Khormato,44.639339,34.88562,Bombing/Explosion,43.0,75.0,1-23-2013,118.0
1864,Mexico,North America,Mexico City,-99.133208,19.432608,Facility/Infrastructure Attack,37.0,101.0,1-31-2013,138.0
1865,Pakistan,South Asia,Hangu,71.058001,33.534096999999996,Bombing/Explosion,25.0,55.0,2-1-2013,80.0
1866,Pakistan,South Asia,Serai Naurang,70.779198,32.821073999999996,Bombing/Explosion,35.0,8.0,2-2-2013,43.0
1867,Iraq,Middle East & North Africa,Kirkuk,44.39098,35.46883,Bombing/Explosion,36.0,70.0,2-3-2013,106.0
1868,Iraq,Middle East & North Africa,Taji,44.2775,33.529444,Bombing/Explosion,22.0,44.0,2-4-2013,66.0
1869,South Sudan,Sub-Saharan Africa,Walgak,32.976440000000004,7.789235000000001,Armed Assault,103.0,13.0,2-8-2013,116.0
1870,Pakistan,South Asia,Kalaya,70.96588299999999,33.742381,Bombing/Explosion,13.0,31.0,2-8-2013,44.0
1871,Iraq,Middle East & North Africa,Baghdad,44.314192999999996,33.361103,Bombing/Explosion,8.0,22.5,2-8-2013,30.5
1872,Iraq,Middle East & North Africa,Shomali,44.915833,32.324721999999994,Bombing/Explosion,13.0,18.0,2-8-2013,31.0
1873,Iraq,Middle East & North Africa,Baghdad,44.314192999999996,33.361103,Bombing/Explosion,8.0,22.5,2-8-2013,30.5
1874,Iraq,Middle East & North Africa,Baghdad,44.240728000000004,33.300188,Bombing/Explosion,6.0,40.0,2-9-2013,46.0
1875,Turkey,Middle East & North Africa,Reyhanli,36.573669,36.267181,Bombing/Explosion,13.0,24.0,2-11-2013,37.0
1876,Pakistan,South Asia,Quetta,66.957103,30.181994,Bombing/Explosion,91.0,169.0,2-16-2013,260.0
1877,India,South Asia,Hyderabad,78.524671,17.368782999999997,Bombing/Explosion,8.0,58.5,2-21-2013,66.5
1878,India,South Asia,Hyderabad,78.524671,17.368782999999997,Bombing/Explosion,8.0,58.5,2-21-2013,66.5
1879,Syria,Middle East & North Africa,Damascus,36.294296,33.508302,Bombing/Explosion,62.0,201.0,2-21-2013,263.0
1880,Iraq,Middle East & North Africa,Baghdad,44.422,33.325,Bombing/Explosion,10.0,30.0,2-28-2013,40.0
1881,Syria,Middle East & North Africa,Homs,36.71817,34.733878999999995,Bombing/Explosion,1.0,30.0,2-28-2013,31.0
1882,Iraq,Middle East & North Africa,Diwaniyah,44.924721999999996,31.989167,Bombing/Explosion,5.0,50.0,3-1-2013,55.0
1883,Pakistan,South Asia,Karachi,67.093003,24.941464,Bombing/Explosion,45.0,151.0,3-3-2013,196.0
1884,Iraq,Middle East & North Africa,Rutba,40.284444,33.038056,Bombing/Explosion,57.0,7.0,3-4-2013,64.0
1885,Pakistan,South Asia,Peshawar,71.575577,34.0087,Bombing/Explosion,5.0,29.0,3-9-2013,34.0
1886,Iraq,Middle East & North Africa,Dibis,44.066944,35.671944,Bombing/Explosion,6.0,120.0,3-11-2013,126.0
1887,Syria,Middle East & North Africa,Damascus,36.241951,33.461571,Bombing/Explosion,3.0,50.0,3-13-2013,53.0
1888,Pakistan,South Asia,Peshawar,71.54483,34.004298999999996,Bombing/Explosion,6.0,45.0,3-18-2013,51.0
1889,Nigeria,Sub-Saharan Africa,Kano,8.536534,12.023287,Bombing/Explosion,39.0,75.0,3-18-2013,114.0
1890,Syria,Middle East & North Africa,Khan al-Assal,37.163826,36.216213,Bombing/Explosion,25.0,130.0,3-19-2013,155.0
1891,Iraq,Middle East & North Africa,Baghdad,44.507801,33.251506,Bombing/Explosion,5.0,27.0,3-19-2013,32.0
1892,Pakistan,South Asia,Jalozai,71.809173,33.905685,Bombing/Explosion,17.0,30.0,3-21-2013,47.0
1893,Syria,Middle East & North Africa,Damascus,36.3064,33.5111,Bombing/Explosion,50.0,84.0,3-21-2013,134.0
1894,Pakistan,South Asia,Dera Allah Yar,68.34808000000001,28.374409999999997,Bombing/Explosion,8.0,40.0,3-22-2013,48.0
1895,Pakistan,South Asia,Mir Ali,70.27790300000001,32.970328,Bombing/Explosion,18.0,26.0,3-23-2013,44.0
1896,Central African Republic,Sub-Saharan Africa,Bangui,18.555975,4.3616980000000005,Armed Assault,13.0,27.0,3-23-2013,40.0
1897,Iraq,Middle East & North Africa,Kirkuk,44.380249,35.431862,Bombing/Explosion,4.0,70.0,3-29-2013,74.0
1898,Pakistan,South Asia,Peshawar,71.544035,34.005019,Bombing/Explosion,11.0,28.0,3-29-2013,39.0
1899,Iraq,Middle East & North Africa,Tikrit,43.68557,34.604328,Bombing/Explosion,10.0,30.0,4-1-2013,40.0
1900,Afghanistan,South Asia,Farah,62.11571899999999,32.374802,Bombing/Explosion,53.0,95.0,4-3-2013,148.0
1901,Iraq,Middle East & North Africa,Baqubah,44.633333,33.75,Bombing/Explosion,23.0,60.0,4-6-2013,83.0
1902,Afghanistan,South Asia,Salar,68.673302,33.910084000000005,Bombing/Explosion,9.0,22.0,4-8-2013,31.0
1903,Syria,Middle East & North Africa,Damascus,36.292302,33.521992,Bombing/Explosion,14.0,53.0,4-8-2013,67.0
1904,Syria,Middle East & North Africa,Damascus,36.3064,33.5111,Unknown,12.0,21.0,4-9-2013,33.0
1905,Iraq,Middle East & North Africa,Kanaan,44.85376,33.67263,Bombing/Explosion,7.0,30.0,4-12-2013,37.0
1906,Somalia,Sub-Saharan Africa,Mogadishu,45.336403000000004,2.042338,Bombing/Explosion,38.0,58.0,4-13-2013,96.0
1907,United States,North America,Boston,-71.080976,42.350265,Bombing/Explosion,1.5,132.0,4-15-2013,133.5
